region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state
el paso,0.0,2017,ford,f-150,excellent,6 cylinders,gas,96805.90582806747,clean,automatic,4wd,sedan,white,tx
auburn,0.0,2011,jeep,compass,excellent,6 cylinders,gas,99615.0,clean,automatic,4wd,SUV,white,al
auburn,0.0,2018,chevrolet,express cargo van,like new,6 cylinders,gas,68472.0,clean,automatic,rwd,van,white,al
auburn,0.0,2019,chevrolet,express cargo van,like new,6 cylinders,gas,69125.0,clean,automatic,rwd,van,white,al
auburn,0.0,2018,chevrolet,express cargo van,like new,6 cylinders,gas,66555.0,clean,automatic,rwd,van,white,al
birmingham,0.0,2015,nissan,sentra,excellent,4 cylinders,gas,99505.0,clean,automatic,fwd,sedan,silver,al
birmingham,0.0,2019,chevrolet,silverado 1500,excellent,8 cylinders,gas,25127.0,clean,automatic,4wd,truck,red,al
birmingham,0.0,2014,ford,Freightliner Cascadia,excellent,6 cylinders,diesel,100.0,clean,automatic,4wd,sedan,white,al
birmingham,0.0,2017,chevrolet,silverado 2500hd 4x4,like new,8 cylinders,diesel,102000.0,clean,automatic,4wd,truck,silver,al
birmingham,0.0,2015,mercedes-benz,s-class,excellent,8 cylinders,gas,78807.0,clean,automatic,4wd,sedan,grey,al
birmingham,0.0,2018,mercedes-benz,e-class,excellent,4 cylinders,gas,34099.0,clean,automatic,rwd,sedan,black,al
birmingham,0.0,2017,ford,expedition el,excellent,6 cylinders,gas,82254.0,clean,automatic,rwd,SUV,black,al
birmingham,0.0,2017,chevrolet,silverado 2500 z71 4x4,like new,8 cylinders,diesel,102000.0,clean,automatic,4wd,truck,silver,al
birmingham,0.0,2016,ram,3500 laramie 4x4,like new,6 cylinders,diesel,120000.0,clean,automatic,4wd,truck,black,al
birmingham,0.0,2018,infiniti,q50,excellent,6 cylinders,gas,30362.0,clean,automatic,4wd,sedan,white,al
birmingham,0.0,2016,jeep,wrangler unlimited,excellent,6 cylinders,gas,83203.0,clean,automatic,4wd,SUV,grey,al
birmingham,0.0,2020,dodge,charger,excellent,8 cylinders,gas,8428.0,clean,automatic,rwd,sedan,white,al
birmingham,0.0,2021,nissan,titan xd,excellent,8 cylinders,gas,2576.0,clean,automatic,4wd,truck,black,al
birmingham,1.0,2012,ford,f250 super duty,excellent,6 cylinders,gas,150000.0,clean,automatic,4wd,sedan,white,al
birmingham,0.0,2017,gmc,sierra 1500,excellent,8 cylinders,gas,60015.0,clean,other,4wd,truck,white,al
birmingham,0.0,2014,buick,enclave,excellent,6 cylinders,gas,143136.0,clean,automatic,fwd,SUV,white,al
birmingham,0.0,2018,honda,cr v,excellent,4 cylinders,gas,22761.0,clean,automatic,fwd,SUV,red,al
birmingham,0.0,2012,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,0.0,clean,automatic,rwd,sedan,white,al
birmingham,0.0,2008,mercedes-benz,e-class,excellent,6 cylinders,gas,132517.0,clean,automatic,4wd,sedan,white,al
birmingham,0.0,2017,nissan,sentra,excellent,6 cylinders,gas,96805.90582806747,clean,automatic,4wd,sedan,white,al
birmingham,0.0,2006,ford,f550,excellent,6 cylinders,diesel,0.0,clean,other,4wd,other,white,al
birmingham,0.0,2017,dodge,challenger rt plus,like new,8 cylinders,gas,39000.0,clean,automatic,rwd,coupe,green,al
birmingham,0.0,2008,chevrolet,impala,excellent,6 cylinders,gas,157476.0,clean,automatic,fwd,sedan,grey,al
birmingham,0.0,2010,chevrolet,cobalt,excellent,4 cylinders,gas,162455.0,clean,automatic,fwd,sedan,white,al
birmingham,0.0,2017,ford,f150 lariat fx4 4x4,like new,8 cylinders,gas,88000.0,clean,automatic,4wd,truck,custom,al
birmingham,0.0,2007,chevrolet,silverado 2500 hd 4x4,like new,8 cylinders,diesel,128000.0,clean,automatic,4wd,truck,silver,al
birmingham,0.0,2014,ford,f150 4x4 xlt,like new,8 cylinders,gas,80000.0,clean,automatic,4wd,truck,blue,al
birmingham,0.0,2019,gmc,yukon xl,excellent,8 cylinders,gas,42411.0,clean,automatic,4wd,SUV,red,al
birmingham,0.0,2016,chevrolet,silverado z71 4x4,like new,8 cylinders,gas,128000.0,clean,automatic,rwd,truck,white,al
birmingham,0.0,2012,chevrolet,silverado z71 4x4 lt,like new,8 cylinders,gas,150000.0,clean,automatic,4wd,truck,black,al
birmingham,0.0,2018,toyota,4runner sr5premium 4x4,like new,6 cylinders,gas,44000.0,clean,automatic,4wd,SUV,white,al
birmingham,0.0,2018,chevrolet,silverado 3500 ltz 4x4,like new,8 cylinders,diesel,140000.0,clean,automatic,4wd,truck,black,al
birmingham,0.0,2018,ram,3500,excellent,6 cylinders,diesel,118845.0,clean,manual,4wd,sedan,white,al
birmingham,0.0,2015,gmc,yukon denali 4x4,like new,8 cylinders,gas,79000.0,clean,automatic,4wd,SUV,black,al
birmingham,0.0,2016,ram,3500 laramie 4x4,like new,6 cylinders,diesel,128377.0,clean,automatic,4wd,truck,black,al
birmingham,0.0,2007,chevrolet,silverado 2500 lt 4x4,like new,8 cylinders,diesel,120000.0,clean,automatic,4wd,truck,silver,al
birmingham,0.0,2016,ram,3500 laramie 4x4,like new,6 cylinders,diesel,160000.0,clean,automatic,4wd,truck,custom,al
birmingham,0.0,2006,jeep,liberty,excellent,6 cylinders,gas,0.0,clean,automatic,4wd,SUV,red,al
birmingham,0.0,2010,lexus,es 350,excellent,6 cylinders,gas,149945.0,clean,automatic,fwd,sedan,silver,al
birmingham,0.0,2004,ford,f650 6 door custom stretch,excellent,6 cylinders,diesel,82712.0,clean,automatic,rwd,pickup,red,al
birmingham,0.0,2019,chevrolet,silverado 1500,excellent,8 cylinders,gas,15807.0,clean,automatic,4wd,truck,red,al
birmingham,0.0,2015,chevrolet,silverado 1500,excellent,8 cylinders,gas,174837.0,clean,automatic,4wd,sedan,white,al
birmingham,1.0,2002,nissan,maxima,excellent,6 cylinders,gas,196000.0,clean,automatic,4wd,sedan,black,al
birmingham,0.0,2011,chevrolet,cruze,excellent,4 cylinders,gas,0.0,clean,automatic,rwd,sedan,red,al
birmingham,0.0,2021,hyundai,kona,excellent,4 cylinders,gas,1517.0,clean,automatic,fwd,SUV,white,al
birmingham,0.0,2015,ford,e350 bus,excellent,6 cylinders,gas,55000.0,clean,automatic,4wd,sedan,white,al
birmingham,0.0,1992,toyota,land cruiser prado,excellent,4 cylinders,diesel,160000.0,clean,automatic,4wd,SUV,black,al
birmingham,0.0,2016,ford,explorer,excellent,6 cylinders,gas,78480.0,clean,automatic,fwd,SUV,white,al
birmingham,0.0,2009,dodge,journey,excellent,6 cylinders,gas,170013.0,clean,manual,rwd,SUV,black,al
birmingham,0.0,1988,ford,AM GENERAL HUMMER,good,8 cylinders,diesel,43000.0,clean,automatic,4wd,other,custom,al
birmingham,0.0,2017,chevrolet,silverado 1500,excellent,6 cylinders,gas,144776.0,clean,automatic,4wd,sedan,black,al
birmingham,0.0,2020,nissan,altima,excellent,4 cylinders,gas,9187.0,clean,automatic,fwd,sedan,silver,al
birmingham,0.0,2016,ford,f450 4x4,excellent,6 cylinders,diesel,0.0,clean,other,4wd,other,white,al
birmingham,0.0,2014,ram,f-150,excellent,6 cylinders,diesel,0.0,clean,automatic,4wd,other,white,al
birmingham,0.0,2013,ford,mustang,excellent,6 cylinders,gas,0.0,clean,automatic,rwd,coupe,white,al
birmingham,0.0,2019,ford,fiesta,excellent,4 cylinders,gas,45056.0,clean,automatic,fwd,hatchback,white,al
birmingham,0.0,2009,jeep,wrangler,excellent,6 cylinders,gas,96805.90582806747,clean,automatic,4wd,sedan,silver,al
birmingham,0.0,2006,cadillac,sts,excellent,8 cylinders,gas,149033.0,clean,automatic,rwd,sedan,black,al
birmingham,0.0,2013,acura,rdx,excellent,6 cylinders,gas,186444.0,clean,automatic,fwd,SUV,white,al
birmingham,0.0,2014,ford,f550 4x4,excellent,6 cylinders,diesel,0.0,clean,other,4wd,other,white,al
birmingham,0.0,2020,honda,pilot,excellent,6 cylinders,gas,15299.0,clean,automatic,fwd,SUV,white,al
birmingham,0.0,2014,toyota,highlander limited awd,like new,6 cylinders,gas,88000.0,clean,automatic,4wd,SUV,custom,al
birmingham,0.0,2012,chevrolet,traverse,excellent,6 cylinders,gas,133167.0,clean,automatic,fwd,SUV,white,al
birmingham,0.0,2013,rover,evoque,excellent,6 cylinders,gas,112000.0,clean,automatic,4wd,sedan,white,al
birmingham,1.0,1999,ford,"1999 ply,prowler",good,8 cylinders,gas,1000.0,salvage,automatic,rwd,convertible,black,al
birmingham,0.0,2014,toyota,highlander limited awd,like new,6 cylinders,gas,80000.0,clean,automatic,4wd,SUV,grey,al
birmingham,0.0,2016,ram,3500 laramie 4x4,like new,6 cylinders,diesel,127000.0,clean,automatic,4wd,truck,black,al
birmingham,0.0,2006,honda,civic sedan,excellent,4 cylinders,gas,166822.0,clean,automatic,fwd,sedan,silver,al
birmingham,0.0,2004,lexus,es 330,excellent,6 cylinders,gas,175945.0,clean,automatic,fwd,sedan,blue,al
birmingham,0.0,2006,acura,mdx,excellent,6 cylinders,gas,194274.0,clean,automatic,4wd,SUV,white,al
birmingham,0.0,2009,gmc,sierra 1500,excellent,8 cylinders,gas,139589.0,clean,other,4wd,truck,silver,al
birmingham,0.0,2007,acura,rl,excellent,6 cylinders,gas,126500.0,clean,automatic,4wd,sedan,white,al
birmingham,0.0,2018,ford,edge sel,like new,6 cylinders,gas,101000.0,clean,automatic,fwd,SUV,blue,al
birmingham,0.0,2018,chevrolet,silverado 3500 hd 4x4,like new,8 cylinders,diesel,85000.0,clean,automatic,4wd,truck,silver,al
birmingham,0.0,1903,chevrolet,corvette,excellent,6 cylinders,gas,96805.90582806747,clean,automatic,4wd,other,white,al
birmingham,1.0,2005,gmc,envoy,excellent,8 cylinders,gas,181000.0,clean,automatic,4wd,SUV,white,al
birmingham,0.0,2018,toyota,rav4,excellent,4 cylinders,gas,29594.0,clean,automatic,fwd,SUV,white,al
dothan,1.0,2012,ford,all,good,6 cylinders,gas,100000.0,clean,automatic,4wd,sedan,white,al
dothan,0.0,2020,ford,f150 xlt 4wd,excellent,6 cylinders,gas,759.0,clean,automatic,4wd,sedan,white,al
dothan,0.0,2013,ford,Other,excellent,6 cylinders,other,0.0,clean,other,4wd,other,white,al
dothan,0.0,2018,chevrolet,express cargo van,like new,6 cylinders,gas,68472.0,clean,automatic,rwd,van,white,al
dothan,0.0,2019,chevrolet,express cargo van,like new,6 cylinders,gas,69125.0,clean,automatic,rwd,van,white,al
dothan,0.0,2018,chevrolet,express cargo van,like new,6 cylinders,gas,66555.0,clean,automatic,rwd,van,white,al
gadsden-anniston,0.0,2021,hyundai,kona,excellent,4 cylinders,gas,1517.0,clean,automatic,fwd,SUV,white,al
gadsden-anniston,0.0,2018,toyota,highlander,excellent,6 cylinders,gas,42661.0,clean,automatic,4wd,SUV,red,al
gadsden-anniston,0.0,2011,mercedes-benz,s-class,excellent,8 cylinders,gas,87488.0,clean,automatic,rwd,sedan,black,al
gadsden-anniston,0.0,2018,mercedes-benz,e-class,excellent,4 cylinders,gas,17193.0,clean,automatic,rwd,sedan,white,al
gadsden-anniston,0.0,2013,mercedes-benz,m-class,excellent,6 cylinders,gas,94809.0,clean,automatic,rwd,SUV,white,al
gadsden-anniston,0.0,2017,ford,expedition el,excellent,6 cylinders,gas,82254.0,clean,automatic,rwd,SUV,black,al
gadsden-anniston,0.0,2018,nissan,altima,excellent,4 cylinders,gas,68043.0,clean,automatic,fwd,sedan,silver,al
gadsden-anniston,0.0,2016,gmc,sierra 1500,excellent,8 cylinders,gas,185897.0,clean,automatic,4wd,truck,white,al
gadsden-anniston,0.0,2018,gmc,sierra 1500,excellent,8 cylinders,gas,61247.0,clean,automatic,4wd,truck,black,al
gadsden-anniston,0.0,2020,dodge,charger,excellent,8 cylinders,gas,8428.0,clean,automatic,rwd,sedan,white,al
gadsden-anniston,0.0,2015,honda,pilot,excellent,6 cylinders,gas,117034.0,clean,automatic,fwd,SUV,white,al
gadsden-anniston,0.0,2018,toyota,rav4,excellent,4 cylinders,gas,26804.0,clean,automatic,fwd,SUV,white,al
gadsden-anniston,0.0,2014,ram,f-150,excellent,6 cylinders,diesel,0.0,clean,automatic,4wd,other,white,al
gadsden-anniston,0.0,2016,nissan,maxima,excellent,6 cylinders,gas,152432.0,clean,automatic,fwd,sedan,black,al
gadsden-anniston,0.0,2019,chevrolet,camaro,excellent,6 cylinders,gas,47971.0,clean,automatic,rwd,convertible,white,al
gadsden-anniston,0.0,2019,jeep,compass,excellent,4 cylinders,gas,31383.0,clean,automatic,fwd,SUV,blue,al
gadsden-anniston,0.0,2015,mercedes-benz,gl-class,excellent,8 cylinders,gas,55215.0,clean,automatic,4wd,SUV,white,al
gadsden-anniston,1.0,2006,acura,tsx,excellent,6 cylinders,gas,192000.0,clean,automatic,4wd,sedan,white,al
gadsden-anniston,1.0,2001,honda,accord,excellent,6 cylinders,gas,210000.0,clean,automatic,4wd,sedan,white,al
gadsden-anniston,1.0,2006,honda,accord,excellent,6 cylinders,gas,166000.0,clean,automatic,4wd,sedan,white,al
gadsden-anniston,0.0,2016,gmc,yukon,excellent,8 cylinders,gas,85662.0,clean,automatic,rwd,SUV,black,al
gadsden-anniston,0.0,2018,acura,tlx,excellent,4 cylinders,gas,33916.0,clean,automatic,fwd,sedan,black,al
gadsden-anniston,0.0,2019,chevrolet,traverse,excellent,6 cylinders,gas,27914.0,clean,automatic,fwd,SUV,black,al
gadsden-anniston,0.0,2020,ram,1500,excellent,8 cylinders,gas,11892.0,clean,automatic,4wd,truck,white,al
gadsden-anniston,0.0,2015,bmw,x5,excellent,6 cylinders,gas,78104.0,clean,automatic,rwd,SUV,white,al
gadsden-anniston,0.0,2019,honda,cr v,excellent,4 cylinders,gas,9546.0,clean,automatic,fwd,SUV,red,al
gadsden-anniston,1.0,2002,toyota,camry,excellent,6 cylinders,gas,165000.0,clean,automatic,4wd,sedan,white,al
gadsden-anniston,1.0,2004,gmc,envoy,excellent,6 cylinders,gas,191000.0,clean,automatic,4wd,sedan,white,al
gadsden-anniston,0.0,2021,nissan,titan xd,excellent,8 cylinders,gas,2576.0,clean,automatic,4wd,truck,black,al
huntsville / decatur,0.0,2017,ram,pickup 2500,excellent,6 cylinders,diesel,129488.0,clean,automatic,4wd,truck,silver,al
huntsville / decatur,0.0,2015,mercedes-benz,s-class,excellent,8 cylinders,gas,78807.0,clean,automatic,4wd,sedan,grey,al
huntsville / decatur,0.0,2018,mercedes-benz,e-class,excellent,4 cylinders,gas,34099.0,clean,automatic,rwd,sedan,black,al
huntsville / decatur,0.0,2013,mercedes-benz,m-class,excellent,6 cylinders,gas,94809.0,clean,automatic,rwd,SUV,white,al
huntsville / decatur,0.0,2017,ford,expedition el,excellent,6 cylinders,gas,82254.0,clean,automatic,rwd,SUV,black,al
huntsville / decatur,0.0,2017,gmc,sierra 1500,excellent,8 cylinders,gas,60015.0,clean,other,4wd,truck,white,al
huntsville / decatur,0.0,2014,toyota,corolla,good,4 cylinders,gas,131681.0,clean,automatic,fwd,sedan,grey,al
huntsville / decatur,0.0,2011,toyota,fj cruiser,excellent,6 cylinders,gas,94328.0,clean,automatic,4wd,SUV,white,al
huntsville / decatur,0.0,2016,ford,expedition,excellent,6 cylinders,gas,123575.0,clean,automatic,rwd,SUV,black,al
